     Time-steps        Time         ICFL Max      VCFL Max        Rc Min        
           421  0.000108              0.045376       0.799128       0.000009      **********
           422  0.000108              0.045483       0.799501       0.000009      **********
           423  0.000108              0.045591       0.799716       0.000009      **********
           424  0.000108              0.045699       0.799780       0.000009      **********
           425  0.000108              0.045807       0.799702       0.000009      **********
           426  0.000108              0.045915       0.799489       0.000009      **********
           427  0.000108              0.046022       0.799151       0.000009      **********
           428  0.000108              0.046130       0.798699       0.000009      **********
           429  0.000108              0.046238       0.798141       0.000009      **********
           430  0.000108              0.046346       0.798161       0.000009      **********
           431  0.000108              0.046453       0.798819       0.000009      **********
           432  0.000108              0.046561       0.799312       0.000009      **********
           433  0.000108              0.046669       0.799645       0.000009      **********
           434  0.000108              0.046777       0.799826       0.000009      **********
           435  0.000108              0.046885       0.799863       0.000009      **********
           436  0.000108              0.046992       0.799764       0.000009      **********
           437  0.000108              0.047100       0.799537       0.000009      **********
           438  0.000108              0.047208       0.799193       0.000009      **********
           439  0.000108              0.047316       0.798741       0.000009      **********
           440  0.000108              0.047423       0.798191       0.000009      **********
           441  0.000108              0.047531       0.798229       0.000009      **********
           442  0.000108              0.047639       0.798832       0.000009      **********
           443  0.000108              0.047747       0.799275       0.000009      **********
           444  0.000108              0.047855       0.799565       0.000009      **********
           445  0.000108              0.047962       0.799708       0.000009      **********
           446  0.000108              0.048070       0.799714       0.000009      **********
           447  0.000108              0.048178       0.799592       0.000009      **********
           448  0.000108              0.048286       0.799349       0.000009      **********
           449  0.000108              0.048394       0.798996       0.000009      **********
           450  0.000108              0.048501       0.798543       0.000009      **********
           451  0.000108              0.048609       0.798000       0.000009      **********
           452  0.000108              0.048717       0.798082       0.000009      **********
           453  0.000108              0.048825       0.798626       0.000009      **********
           454  0.000108              0.048932       0.799017       0.000009      **********
           455  0.000108              0.049040       0.799261       0.000010      **********
           456  0.000108              0.049148       0.799365       0.000010      **********
           457  0.000108              0.049256       0.799338       0.000010      **********
           458  0.000108              0.049364       0.799190       0.000010      **********
           459  0.000108              0.049471       0.798930       0.000010      **********
           460  0.000108              0.049579       0.798568       0.000010      **********
           461  0.000108              0.049687       0.798113       0.000010      **********
           462  0.000108              0.049795       0.797578       0.000010      **********
           463  0.000108              0.049902       0.797718       0.000010      **********
           464  0.000108              0.050010       0.798202       0.000010      **********
           465  0.000108              0.050118       0.798539       0.000010      **********
           466  0.000108              0.050226       0.798735       0.000010      **********
           467  0.000108              0.050334       0.798799       0.000010      **********
           468  0.000108              0.050441       0.798740       0.000010      **********
           469  0.000108              0.050549       0.798567       0.000010      **********
           470  0.000108              0.050657       0.798291       0.000010      **********
           471  0.000108              0.050765       0.797922       0.000010      **********
           472  0.000108              0.050872       0.797469       0.000010      **********
           473  0.000108              0.050980       0.796943       0.000010      **********
           474  0.000108              0.051088       0.797141       0.000010      **********
           475  0.000108              0.051196       0.797565       0.000010      **********
           476  0.000108              0.051304       0.797848       0.000010      **********
           477  0.000108              0.051411       0.797999       0.000010      **********
           478  0.000108              0.051519       0.798025       0.000010      **********
           479  0.000108              0.051627       0.797936       0.000010      **********
           480  0.000108              0.051735       0.797743       0.000010      **********
           481  0.000108              0.051842       0.797454       0.000010      **********
           482  0.000108              0.051950       0.797080       0.000010      **********
